블로그,아이디,글수,주당발행,제목길이(중앙),정보형%,상업형%,뉴스형%,기타%,물음표%,숫자%,글당태그,마지막글(일전)
★ 뮤직잇츠 (나),musicits,50,5.5,40,16,28,36,20,34,70,18.0,0
클릭하기 좋은 IT,itexpert,50,12.5,34,44,14,6,36,24,46,3.5,1
짜루의 이것저것 리뷰,skdaksdptn,50,12.5,34,16,28,22,34,28,68,4.6,0
코예커플 IT,aiwositai,50,12.5,35,22,22,12,44,36,46,4.1,0
티보의 IT 자동차 리뷰 공작소,oksk2002kr,50,12.5,36,12,14,4,70,58,64,3.9,0
세수하면이병헌 IT/자동차,supapa13,50,12.5,29,18,44,8,30,14,30,3.1,0
에릭의 IT스토리,nce0623,50,12.5,39,22,32,10,36,34,70,7.3,0
"김띵크 시션, IT Insight",rlawnstn119,50,12.5,40,16,22,20,42,36,74,7.8,0
Gwoo's IT TIME,2gwoo,50,12.5,34,28,32,12,28,26,52,3.0,0
알기쉬운디지털,bluepath,50,12.5,33,70,2,2,26,10,16,9.2,0
일리야 라이프스타일,ekfgo95,50,12.5,47,6,22,16,56,36,72,8.8,0
버들붕어 스토리,djusti,50,12.5,35,12,10,10,68,32,80,17.1,0
가위남(가족을 위해 요리하는 남자),redzacal,50,12.5,25,0,22,2,76,0,44,3.7,0
옹이 일상,kkwrkdrk2,50,12.5,42,16,18,12,54,46,80,9.8,0
자유분방 IT사진,bk32167,50,12.5,36,12,14,38,36,56,88,11.5,0
이글아이의 사진여행,bsweye,50,12.5,47,10,88,0,2,0,100,14.4,0
고양이집사 리사's 포스트 IT,dean4001,50,12.5,33,50,8,2,40,50,42,9.5,0
Modulestudio,modulestudio,50,12.5,30,22,22,4,52,0,32,5.6,0
낭만테크의 IT 놀이터,yo7ung,50,9.5,39,14,16,10,60,14,74,8.9,0
어디갓츄의 IT스토리,smallview,50,8.8,28,2,96,0,2,0,24,2.1,1
슈마여행의 재밌는 IT,airbag1,50,6.5,41,8,56,14,22,16,28,8.5,0
