순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
1,사진 용량 줄이기,저장공간,56.9,8.8,18.1,30.0,39.8,유지,4.067,4.6,60.9,0.0,48.9,3월·4월,35.0,7.5,607540,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
2,아이폰 18,루머,55.1,40.0,15.1,0.0,49.8,유지,84.033,14.4,118.8,0.0,61.0,6월·7월,47.5,20.0,441566,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
3,와이파이 느린 이유,AI인용,53.3,0.6,22.7,30.0,24.3,상승,0.037,29.6,71.1,0.0,53.3,1월·3월,10.0,0.0,65124,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
4,노이즈캔슬링 원리,AI인용,50.1,1.2,18.9,30.0,37.1,상승,0.062,23.1,28.6,0.0,58.5,5월·6월,37.5,10.0,6725,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
5,블루투스 코덱 차이,AI인용,50.1,2.5,17.6,30.0,41.2,급상승,0.25,65.5,104.3,0.0,36.1,1월·3월,35.0,22.5,17423,높음,관심이 확 올랐습니다. 이번 주 안에 정보형으로 쓰세요.
6,골전도 이어폰 원리,AI인용,50.0,0.5,19.5,30.0,35.1,상승,0.03,30.6,111.7,0.0,17.8,5월·6월,32.5,17.5,2566,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
7,노이즈캔슬링 부작용,AI인용,49.8,0.0,19.8,30.0,34.0,유지,0.0,0.0,0.0,0.353,74.3,1월·3월,15.0,45.0,1758,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
8,번인 현상 원인,AI인용,49.8,2.4,17.4,30.0,42.0,유지,0.293,-0.3,62.9,0.0,22.6,1월·3월,55.0,5.0,1749,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
9,스마트폰 느려지는 이유,AI인용,49.8,1.6,18.2,30.0,39.3,유지,0.129,-9.1,34.3,0.0,97.6,1월·2월,30.0,15.0,88517,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
10,헤드폰 귀 아픈 이유,AI인용,49.8,0.5,19.4,30.0,35.5,유지,0.033,10.1,69.4,0.0,38.8,1월·3월,22.5,25.0,15242,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
11,이어폰 오래 끼면,AI인용,49.7,0.0,19.7,30.0,34.2,하락,0.0,-100.0,0.0,0.294,83.7,1월·3월,22.5,10.0,113886,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
12,스마트폰 발열 원인,AI인용,49.6,3.1,16.5,30.0,44.9,하락,0.498,-43.7,56.2,0.0,55.9,6월·7월,45.0,12.5,44752,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
13,배터리 성능 저하 이유,AI인용,49.5,4.7,14.8,30.0,50.5,유지,1.149,-11.3,80.2,0.0,23.0,1월·2월,40.0,35.0,111442,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
14,캐시 삭제 방법,저장공간,49.5,0.4,19.1,30.0,36.2,급상승,0.015,73.6,20.7,0.059,151.3,1월·3월,17.5,25.0,110397,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
15,무선 충전 원리,원리,49.4,0.4,19.1,30.0,36.4,급상승,0.014,158.8,29.1,0.0,87.4,5월·6월,32.5,5.0,45094,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
16,AAC 코덱,코덱,49.1,0.2,18.9,30.0,36.9,상승,0.003,53.8,19.2,0.353,126.3,1월·6월,17.5,35.0,25648,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
17,아이폰 저장공간 부족,저장공간,48.8,1.6,17.2,30.0,42.7,식는 중,0.14,-16.0,72.6,0.0,10.8,3월·7월,32.5,25.0,55869,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
18,5G LTE 차이,AI인용,48.7,0.7,18.1,30.0,39.7,하락,0.023,-41.9,10.9,0.0,56.0,1월·3월,27.5,25.0,41964,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
