순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
1,사진 용량 줄이기,저장공간,57.0,10.5,16.5,30.0,45.2,상승,4.157,33.8,71.3,0.0,48.9,3월·4월,37.0,22.2,611041,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
2,이어폰 청소 방법,AI인용,55.3,2.8,22.5,30.0,24.9,유지,0.393,-2.8,96.1,0.0,37.4,6월·7월,10.0,5.0,40205,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
3,배터리 성능 저하 이유,AI인용,54.6,4.5,20.1,30.0,33.0,유지,0.999,-9.4,79.8,0.0,23.0,1월·2월,20.0,10.0,111933,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
4,5G LTE 차이,AI인용,54.4,0.8,23.6,30.0,21.2,유지,0.029,-11.9,15.4,0.0,56.0,1월·3월,2.5,5.0,42127,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
5,번인 현상 원인,AI인용,54.0,2.3,21.8,30.0,27.5,유지,0.259,1.0,63.7,0.0,22.6,1월·3월,12.5,27.5,1754,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
6,아이폰 18,루머,54.0,40.0,13.9,0.0,53.5,상승,79.277,23.8,128.4,0.0,61.0,6월·7월,40.0,45.0,442846,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
7,LP 관리,음악,53.2,0.4,22.8,30.0,24.0,유지,0.018,-12.0,47.4,0.0,29.0,2월·3월,0.0,13.3,148543,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
8,블루투스 코덱 차이,AI인용,52.6,2.2,20.4,30.0,32.0,상승,0.182,33.6,87.2,0.0,36.1,1월·3월,22.5,12.5,17469,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
9,노이즈캔슬링 원리,AI인용,52.4,1.3,21.1,30.0,29.8,상승,0.063,47.4,33.6,0.0,58.5,5월·6월,20.0,15.0,6743,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
10,조리개 뜻,카메라,52.2,0.0,22.2,30.0,26.0,하락,0.0,-100.0,0.0,0.429,146.7,1월·3월,3.4,24.1,18675,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
