순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
1,사진 용량 줄이기,저장공간,56.0,8.7,17.3,30.0,42.2,유지,3.72,-6.6,55.4,0.0,48.9,3월·4월,32.5,20.0,603683,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
2,아이폰 18,루머,55.4,40.0,15.4,0.0,48.8,유지,79.391,18.6,118.3,0.0,61.0,6월·7월,50.0,12.5,471041,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
3,이어폰 청소 방법,AI인용,53.0,3.1,19.9,30.0,33.7,유지,0.477,0.1,101.3,0.0,37.4,6월·7월,27.5,5.0,41090,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
4,와이파이 느린 이유,AI인용,52.7,0.4,22.3,30.0,25.8,유지,0.024,-11.6,46.3,0.0,53.3,1월·3월,10.0,5.0,64947,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
5,노이즈캔슬링 부작용,AI인용,52.6,0.0,22.6,30.0,24.6,유지,0.0,0.0,0.0,0.333,74.3,1월·3월,12.5,17.5,1840,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
6,블루투스 코덱 차이,AI인용,52.5,2.2,20.3,30.0,32.2,상승,0.178,29.3,73.9,0.0,36.1,1월·3월,12.5,30.0,17304,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
7,번인 현상 원인,AI인용,51.9,3.5,18.4,30.0,38.7,상승,0.454,42.3,97.0,0.0,22.6,1월·3월,42.5,15.0,1736,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
8,노이즈캔슬링 원리,AI인용,51.1,1.1,20.0,30.0,33.3,식는 중,0.055,-16.1,25.5,0.0,58.5,5월·6월,30.0,10.0,6760,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
9,헤드폰 귀 아픈 이유,AI인용,50.9,0.5,20.5,30.0,31.7,유지,0.029,10.4,59.8,0.0,38.8,1월·3월,30.0,0.0,15117,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
10,미러리스 DSLR 차이,카메라,50.6,0.2,20.4,30.0,32.0,유지,0.008,18.2,33.4,0.273,121.1,3월·4월,17.5,17.5,31736,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
11,스마트폰 발열 원인,AI인용,50.3,3.9,16.4,30.0,45.3,유지,0.771,-12.7,86.6,0.0,55.9,6월·7월,47.5,10.0,44314,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
12,5G LTE 차이,AI인용,49.9,0.8,19.1,30.0,36.5,식는 중,0.035,-16.3,16.6,0.0,56.0,1월·3월,30.0,10.0,41920,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
13,배터리 성능 저하 이유,AI인용,49.8,5.2,14.6,30.0,51.2,유지,1.321,4.3,91.7,0.0,23.0,1월·2월,40.0,37.5,110227,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
14,이어폰 오래 끼면,AI인용,49.8,0.4,19.4,30.0,35.2,급상승,0.013,73.9,102.9,0.273,83.7,1월·3월,27.5,5.0,113536,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
