순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
1,사진 용량 줄이기,저장공간,56.5,8.6,17.8,30.0,40.5,유지,3.748,-5.1,55.6,0.0,48.9,3월·4월,35.0,10.0,604917,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
2,아이폰 18,루머,53.9,40.0,13.9,0.0,53.8,유지,80.787,11.7,119.8,0.0,61.0,6월·7월,52.5,25.0,440900,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
3,이어폰 청소 방법,AI인용,52.2,2.9,19.3,30.0,35.7,유지,0.422,-11.8,89.3,0.0,37.4,6월·7월,22.5,20.0,39987,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
4,번인 현상 원인,AI인용,51.7,2.5,19.2,30.0,36.0,유지,0.325,8.5,69.0,0.0,22.6,1월·3월,32.5,22.5,1748,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
5,와이파이 느린 이유,AI인용,51.6,0.5,21.1,30.0,29.5,유지,0.03,2.7,57.0,0.0,53.3,1월·3월,17.5,5.0,64997,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
6,이어폰 오래 끼면,AI인용,51.4,0.2,21.2,30.0,29.2,하락,0.004,-60.0,30.7,0.294,83.7,1월·3월,12.5,10.0,113646,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
7,노이즈캔슬링 원리,AI인용,50.7,1.1,19.6,30.0,34.6,유지,0.059,16.1,27.1,0.0,58.5,5월·6월,32.5,10.0,6711,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
8,스마트폰 느려지는 이유,AI인용,50.5,1.6,19.0,30.0,36.8,유지,0.122,-15.0,32.3,0.0,97.6,1월·2월,25.0,15.0,88072,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
9,노이즈캔슬링 부작용,AI인용,50.2,0.0,20.2,30.0,32.7,유지,0.0,0.0,0.0,0.353,74.3,1월·3월,12.5,45.0,1758,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
10,헤드폰 귀 아픈 이유,AI인용,50.0,0.6,19.4,30.0,35.2,상승,0.038,27.6,78.0,0.0,38.8,1월·3월,25.0,20.0,15184,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
11,스마트폰 발열 원인,AI인용,49.8,3.2,16.5,30.0,44.8,하락,0.529,-40.8,59.2,0.0,55.9,6월·7월,45.0,12.5,44493,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
12,조리개 뜻,카메라,49.8,0.0,19.8,30.0,34.1,하락,0.0,-100.0,0.0,0.412,146.7,1월·3월,25.0,15.0,18556,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
13,아이폰 저장공간 부족,저장공간,49.4,1.7,17.7,30.0,41.0,유지,0.151,-12.3,77.6,0.0,10.8,3월·7월,35.0,15.0,55599,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
14,배터리 성능 저하 이유,AI인용,49.2,4.8,14.4,30.0,52.0,유지,1.169,-10.1,80.8,0.0,23.0,1월·2월,40.0,40.0,110948,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
15,골전도 이어폰 원리,AI인용,49.1,0.4,18.7,30.0,37.6,유지,0.026,16.8,94.2,0.0,17.8,5월·6월,37.5,17.5,2556,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
16,블루투스 코덱 차이,AI인용,49.1,2.5,16.6,30.0,44.7,급상승,0.243,65.9,100.4,0.0,36.1,1월·3월,37.5,30.0,17368,높음,관심이 확 올랐습니다. 이번 주 안에 정보형으로 쓰세요.
17,커널형 오픈형 차이,AI인용,49.0,0.6,18.3,30.0,38.9,상승,0.041,32.6,45.7,0.029,81.9,2월·3월,35.0,15.0,16507,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
18,무선 충전 원리,원리,49.0,0.3,18.6,30.0,37.9,급상승,0.011,134.5,22.2,0.0,87.4,5월·6월,32.5,10.0,44930,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
19,캐시 삭제 방법,저장공간,48.9,0.4,18.5,30.0,38.2,급상승,0.015,73.6,20.5,0.059,151.3,1월·3월,20.0,27.5,110086,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
20,5G LTE 차이,AI인용,48.8,0.7,18.1,30.0,39.7,하락,0.024,-39.4,11.4,0.0,56.0,1월·3월,27.5,25.0,41857,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
21,AAC 코덱,코덱,48.7,0.2,18.5,30.0,38.4,상승,0.003,53.8,19.0,0.353,126.3,1월·6월,25.0,27.5,25588,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
22,저장공간 부족할 때,AI인용,48.6,1.7,16.9,30.0,43.8,유지,0.151,-12.8,77.6,0.0,10.7,3월·7월,47.5,0.0,464209,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
23,공장초기화 방법,AI인용,48.3,1.6,16.7,30.0,44.2,유지,0.133,-6.9,24.6,0.0,112.0,1월·3월,27.5,35.0,291952,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
24,미러리스 DSLR 차이,카메라,48.1,0.0,18.1,30.0,39.7,하락,0.0,-100.0,0.0,0.294,121.1,3월·4월,22.5,35.0,31391,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
25,ISO 뜻,카메라,47.8,1.1,16.7,30.0,44.4,식는 중,0.066,-20.3,45.8,0.0,27.9,3월·4월,37.5,22.5,53526,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
26,무손실 음원이란,AI인용,47.0,0.9,16.1,30.0,46.5,식는 중,0.045,-31.4,40.6,0.0,42.9,1월·3월,22.5,60.0,19955,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
27,이어폰 끊김 원인,AI인용,46.6,0.4,16.2,30.0,45.9,급상승,0.015,95.9,47.9,0.147,63.9,3월·4월,50.0,17.5,8029,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
28,이어폰 한쪽만 안 나올 때,AI인용,45.6,0.0,15.6,30.0,48.0,하락,0.0,-100.0,0.0,0.353,136.2,1월·4월,40.0,30.0,57064,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
29,이어폰 임피던스 뜻,AI인용,45.4,2.2,13.2,30.0,55.9,유지,0.246,-7.8,67.2,0.0,24.8,1월·3월,52.5,57.5,1254,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
30,갤럭시 저장공간 정리,저장공간,45.0,0.1,14.8,30.0,50.5,하락,0.003,-84.6,8.5,0.382,253.4,4월·7월,55.0,10.0,110419,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
31,LP 관리,음악,43.1,0.3,12.8,30.0,57.2,하락,0.014,-45.3,32.0,0.0,29.0,2월·3월,47.5,45.0,148059,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
32,아이폰 18 출시일,루머,39.1,23.8,15.4,0.0,48.8,유지,28.539,5.6,108.4,0.0,50.3,6월·7월,55.0,5.0,89686,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
33,포노앰프,음악,36.3,1.1,20.1,15.0,33.0,유지,0.066,-6.0,52.2,0.0,29.5,1월·3월,15.0,27.5,19956,중간,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
34,갤럭시 S27,루머,32.6,16.2,16.4,0.0,45.3,유지,13.215,-13.4,91.9,0.0,166.3,6월·7월,50.0,17.5,5797,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
35,아이폰 폴더블,루머,32.6,17.9,14.8,0.0,50.8,상승,12.188,56.1,126.6,0.0,32.6,4월·7월,52.5,15.0,111049,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
