블로그,아이디,글수,주당발행,제목길이(중앙),정보형%,상업형%,뉴스형%,기타%,물음표%,숫자%,글당태그,마지막글(일전)
★ 뮤직잇츠 (나),musicits,50,6.2,40,16,26,38,20,34,68,18.7,0
클릭하기 좋은 IT,itexpert,50,12.5,36,54,12,4,30,28,42,3.4,0
짜루의 이것저것 리뷰,skdaksdptn,50,12.5,34,12,32,20,36,28,74,5.0,0
코예커플 IT,aiwositai,50,12.5,34,14,14,22,50,38,56,3.9,0
티보의 IT 자동차 리뷰 공작소,oksk2002kr,50,12.5,34,14,12,4,70,28,68,4.0,1
세수하면이병헌 IT/자동차,supapa13,50,12.5,28,26,42,2,30,14,26,3.2,0
에릭의 IT스토리,nce0623,50,12.5,41,30,36,8,26,28,68,7.1,0
"김띵크 시션, IT Insight",rlawnstn119,50,12.5,39,16,28,18,38,36,82,7.9,0
Gwoo's IT TIME,2gwoo,50,12.5,34,26,34,14,26,24,50,3.5,0
알기쉬운디지털,bluepath,50,12.5,32,74,6,2,18,6,20,8.3,0
일리야 라이프스타일,ekfgo95,50,12.5,45,8,24,16,52,78,78,11.9,0
버들붕어 스토리,djusti,50,12.5,35,28,2,2,68,30,74,17.2,0
가위남(가족을 위해 요리하는 남자),redzacal,50,12.5,28,2,52,2,44,0,66,3.2,0
옹이 일상,kkwrkdrk2,50,12.5,42,8,22,6,64,38,84,9.2,0
자유분방 IT사진,bk32167,50,12.5,36,16,18,26,40,58,76,11.9,0
이글아이의 사진여행,bsweye,50,12.5,52,0,90,8,2,0,92,15.1,0
고양이집사 리사's 포스트 IT,dean4001,50,12.5,32,54,8,2,36,42,46,7.9,0
Modulestudio,modulestudio,50,12.5,31,26,18,2,54,2,32,5.8,0
어디갓츄의 IT스토리,smallview,50,10.2,28,4,94,0,2,2,24,2.0,0
낭만테크의 IT 놀이터,yo7ung,50,9.0,41,12,14,8,66,18,76,8.2,0
슈마여행의 재밌는 IT,airbag1,50,6.8,40,6,56,12,26,14,24,8.9,0
