블로그,아이디,글수,주당발행,제목길이(중앙),정보형%,상업형%,뉴스형%,기타%,물음표%,숫자%,글당태그,마지막글(일전)
★ 뮤직잇츠 (나),musicits,50,6.5,40,10,28,42,20,34,72,18.9,0
클릭하기 좋은 IT,itexpert,50,12.5,36,42,22,4,32,22,58,4.2,0
짜루의 이것저것 리뷰,skdaksdptn,50,12.5,34,16,32,20,32,30,70,4.7,0
코예커플 IT,aiwositai,50,12.5,35,6,16,24,54,48,54,3.6,0
티보의 IT 자동차 리뷰 공작소,oksk2002kr,50,12.5,33,16,24,2,58,32,68,4.3,0
세수하면이병헌 IT/자동차,supapa13,50,12.5,30,24,42,0,34,12,34,3.5,0
에릭의 IT스토리,nce0623,50,12.5,41,30,36,10,24,30,66,7.3,0
"김띵크 시션, IT Insight",rlawnstn119,50,12.5,39,18,22,18,42,28,82,8.0,0
Gwoo's IT TIME,2gwoo,50,12.5,34,28,40,20,12,22,58,3.8,0
알기쉬운디지털,bluepath,50,12.5,31,68,10,4,18,10,16,7.9,0
일리야 라이프스타일,ekfgo95,50,12.5,44,4,32,18,46,92,82,13.8,0
버들붕어 스토리,djusti,50,12.5,32,18,4,12,66,4,86,15.8,0
가위남(가족을 위해 요리하는 남자),redzacal,50,12.5,30,2,60,2,36,0,72,3.5,0
옹이 일상,kkwrkdrk2,50,12.5,38,18,10,8,64,28,68,10.0,0
자유분방 IT사진,bk32167,50,12.5,35,18,14,20,48,44,72,11.5,0
이글아이의 사진여행,bsweye,50,12.5,57,0,82,14,4,0,94,15.4,0
고양이집사 리사's 포스트 IT,dean4001,50,12.5,31,50,12,4,34,24,34,7.5,0
Modulestudio,modulestudio,50,12.5,32,28,14,0,58,2,38,5.9,0
어디갓츄의 IT스토리,smallview,50,11.5,28,4,94,0,2,2,32,2.0,0
낭만테크의 IT 놀이터,yo7ung,50,10.0,41,10,12,8,70,24,76,8.6,0
슈마여행의 재밌는 IT,airbag1,50,8.0,41,4,64,10,22,10,22,9.0,1
